Date,Time,Temperature,Humidity,Light,DateTime
2018/10/12,10:30:50,70.0,54.3,886.6,20181012103050
2018/10/12,10:30:52,73.1,54.7,874.3,20181012103052
2018/10/12,10:30:54,76.1,54.9,858.7,20181012103054
2018/10/12,10:30:56,78.8,54.9,840.6,20181012103056
2018/10/12,10:30:58,81.1,54.7,820.7,20181012103058
2018/10/12,10:31:00,82.9,54.3,799.9,20181012103100
2018/10/12,10:31:02,84.2,53.7,779.1,20181012103102
2018/10/12,10:31:04,84.9,52.9,759.2,20181012103104
2018/10/12,10:31:06,84.9,52.0,741.1,20181012103106
2018/10/12,10:31:08,84.2,51.0,725.6,20181012103108
2018/10/12,10:31:10,82.9,49.9,713.3,20181012103110
2018/10/12,10:31:12,81.1,48.9,704.8,20181012103112
2018/10/12,10:31:14,78.7,47.9,700.5,20181012103114
2018/10/12,10:31:16,76.0,47.0,700.5,20181012103116
2018/10/12,10:31:18,73.0,46.2,704.9,20181012103118
2018/10/12,10:31:20,69.9,45.6,713.4,20181012103120
2018/10/12,10:31:22,66.8,45.2,725.8,20181012103122
2018/10/12,10:31:24,63.8,45.0,741.3,20181012103124
2018/10/12,10:31:26,61.1,45.0,759.5,20181012103126
2018/10/12,10:31:28,58.8,45.2,779.4,20181012103128
2018/10/12,10:31:30,56.9,45.6,800.2,20181012103130
2018/10/12,10:31:32,55.7,46.2,821.0,20181012103132
2018/10/12,10:31:34,55.0,47.0,840.9,20181012103134
2018/10/12,10:31:36,55.0,47.9,858.9,20181012103136
2018/10/12,10:31:38,55.7,48.9,874.5,20181012103138
2018/10/12,10:31:40,57.0,50.0,886.7,20181012103140
2018/10/12,10:31:42,58.8,51.0,895.1,20181012103142
2018/10/12,10:31:44,61.2,52.0,899.4,20181012103144
2018/10/12,10:31:46,63.9,52.9,899.4,20181012103146
2018/10/12,10:31:48,66.9,53.7,895.0,20181012103148
2018/10/12,10:31:50,70.0,54.3,886.4,20181012103150
2018/10/12,10:31:52,73.1,54.7,874.0,20181012103152
2018/10/12,10:31:54,76.1,54.9,858.4,20181012103154
2018/10/12,10:31:56,78.8,54.9,840.3,20181012103156
2018/10/12,10:31:58,81.1,54.7,820.4,20181012103158
2018/10/12,10:32:00,83.0,54.3,799.5,20181012103200
2018/10/12,10:32:02,84.2,53.7,778.7,20181012103202
2018/10/12,10:32:04,84.9,52.9,758.9,20181012103204
2018/10/12,10:32:06,84.9,52.0,740.8,20181012103206
2018/10/12,10:32:08,84.2,51.0,725.3,20181012103208
2018/10/12,10:32:10,82.9,49.9,713.1,20181012103210
2018/10/12,10:32:12,81.0,48.9,704.7,20181012103212
2018/10/12,10:32:14,78.7,47.9,700.4,20181012103214
2018/10/12,10:32:16,76.0,47.0,700.6,20181012103216
2018/10/12,10:32:18,73.0,46.2,705.0,20181012103218
2018/10/12,10:32:20,69.9,45.6,713.6,20181012103220
2018/10/12,10:32:22,66.8,45.2,726.0,20181012103222
2018/10/12,10:32:24,63.8,45.0,741.6,20181012103224
2018/10/12,10:32:26,61.1,45.0,759.8,20181012103226
2018/10/12,10:32:28,58.7,45.2,779.7,20181012103228
2018/10/12,10:32:30,56.9,45.6,800.5,20181012103230
2018/10/12,10:32:32,55.7,46.3,821.3,20181012103232
2018/10/12,10:32:34,55.0,47.0,841.2,20181012103234
2018/10/12,10:32:36,55.0,47.9,859.2,20181012103236
2018/10/12,10:32:38,55.7,48.9,874.7,20181012103238
2018/10/12,10:32:40,57.0,50.0,886.9,20181012103240
2018/10/12,10:32:42,58.9,51.0,895.3,20181012103242
2018/10/12,10:32:44,61.2,52.0,899.5,20181012103244
2018/10/12,10:32:46,63.9,52.9,899.3,20181012103246
2018/10/12,10:32:48,66.9,53.7,894.8,20181012103248
2018/10/12,10:32:50,70.1,54.3,886.2,20181012103250
2018/10/12,10:32:52,73.2,54.7,873.8,20181012103252
2018/10/12,10:32:54,76.1,54.9,858.1,20181012103254
2018/10/12,10:32:56,78.9,54.9,840.0,20181012103256
2018/10/12,10:32:58,81.2,54.7,820.0,20181012103258
2018/10/12,10:33:00,83.0,54.3,799.2,20181012103300
2018/10/12,10:33:02,84.3,53.6,778.4,20181012103302
2018/10/12,10:33:04,84.9,52.9,758.6,20181012103304
2018/10/12,10:33:06,84.9,51.9,740.5,20181012103306
2018/10/12,10:33:08,84.2,51.0,725.1,20181012103308
2018/10/12,10:33:10,82.9,49.9,712.9,20181012103310
2018/10/12,10:33:12,81.0,48.9,704.6,20181012103312
2018/10/12,10:33:14,78.7,47.9,700.4,20181012103314
2018/10/12,10:33:16,75.9,47.0,700.6,20181012103316
2018/10/12,10:33:18,72.9,46.2,705.1,20181012103318
2018/10/12,10:33:20,69.8,45.6,713.8,20181012103320
2018/10/12,10:33:22,66.7,45.2,726.2,20181012103322
2018/10/12,10:33:24,63.7,45.0,741.9,20181012103324
2018/10/12,10:33:26,61.0,45.0,760.1,20181012103326
2018/10/12,10:33:28,58.7,45.2,780.1,20181012103328
2018/10/12,10:33:30,56.9,45.6,800.9,20181012103330
2018/10/12,10:33:32,55.6,46.3,821.7,20181012103332
2018/10/12,10:33:34,55.0,47.0,841.5,20181012103334
